고객ID,고객명,세그먼트,마지막이용일,경과일,평균주기,초과배수,제외사유
C101550,한주영,이탈위험군,2026-02-23,163일,41일,4.0배,홀드아웃(대조군) — 발송 제외
C100890,서윤빈,이탈위험군,2026-02-24,162일,41일,4.0배,홀드아웃(대조군) — 발송 제외
C100180,조예경,이탈위험군,2026-02-26,160일,41일,3.9배,홀드아웃(대조군) — 발송 제외
C100730,오채수,이탈위험군,2026-02-26,160일,41일,3.9배,홀드아웃(대조군) — 발송 제외
C100390,안채수,이탈위험군,2026-02-27,159일,41일,3.9배,홀드아웃(대조군) — 발송 제외
C100570,한채호,이탈위험군,2026-02-27,159일,41일,3.9배,홀드아웃(대조군) — 발송 제외
C101590,최지우,이탈위험군,2026-02-27,159일,41일,3.9배,홀드아웃(대조군) — 발송 제외
C101560,윤소우,이탈위험군,2026-02-28,158일,41일,3.9배,홀드아웃(대조군) — 발송 제외
C101680,신지희,이탈위험군,2026-02-28,158일,41일,3.9배,홀드아웃(대조군) — 발송 제외
C100940,조수준,이탈위험군,2026-03-01,157일,41일,3.8배,홀드아웃(대조군) — 발송 제외
C100170,홍하수,이탈위험군,2026-03-03,155일,41일,3.8배,홀드아웃(대조군) — 발송 제외
C101500,임소빈,이탈위험군,2026-03-03,155일,41일,3.8배,홀드아웃(대조군) — 발송 제외
C101540,김민호,이탈위험군,2026-03-04,154일,41일,3.8배,홀드아웃(대조군) — 발송 제외
C100010,이주수,이탈위험군,2026-03-05,153일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C100150,윤주영,이탈위험군,2026-03-05,153일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C100310,전은영,이탈위험군,2026-03-05,153일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C100050,장유호,이탈위험군,2026-03-06,152일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C100710,조윤우,이탈위험군,2026-03-07,151일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C100970,박윤경,이탈위험군,2026-03-07,151일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C101190,송채수,이탈위험군,2026-03-07,151일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C100990,서하진,이탈위험군,2026-03-08,150일,41일,3.7배,홀드아웃(대조군) — 발송 제외
C100930,조민영,이탈위험군,2026-03-09,149일,41일,3.6배,홀드아웃(대조군) — 발송 제외
C101390,강지서,이탈위험군,2026-03-09,149일,41일,3.6배,홀드아웃(대조군) — 발송 제외
C100510,임채영,이탈위험군,2026-03-10,148일,41일,3.6배,홀드아웃(대조군) — 발송 제외
C100870,안유진,이탈위험군,2026-03-10,148일,41일,3.6배,홀드아웃(대조군) — 발송 제외
C100910,윤유희,이탈위험군,2026-03-12,146일,41일,3.6배,홀드아웃(대조군) — 발송 제외
C100960,안서빈,이탈위험군,2026-03-12,146일,41일,3.6배,홀드아웃(대조군) — 발송 제외
C100120,최지경,이탈위험군,2026-03-13,145일,41일,3.5배,홀드아웃(대조군) — 발송 제외
C100160,송주정,이탈위험군,2026-03-15,143일,41일,3.5배,홀드아웃(대조군) — 발송 제외
C101000,이하준,이탈위험군,2026-03-15,143일,41일,3.5배,홀드아웃(대조군) — 발송 제외
C100440,임현진,이탈위험군,2026-03-16,142일,41일,3.5배,홀드아웃(대조군) — 발송 제외
C100900,윤소우,이탈위험군,2026-03-16,142일,41일,3.5배,홀드아웃(대조군) — 발송 제외
C101610,권현연,이탈위험군,2026-03-16,142일,41일,3.5배,홀드아웃(대조군) — 발송 제외
C101690,홍은준,이탈위험군,2026-03-17,141일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C101700,정주진,이탈위험군,2026-03-17,141일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C100980,조주영,이탈위험군,2026-03-18,140일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C101650,이서수,이탈위험군,2026-03-18,140일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C101060,윤소경,이탈위험군,2026-03-19,139일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C101400,장유호,이탈위험군,2026-03-19,139일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C100090,서현연,이탈위험군,2026-03-20,138일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C100430,안소정,이탈위험군,2026-03-20,138일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C101050,박채수,이탈위험군,2026-03-20,138일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C101720,안수수,이탈위험군,2026-03-20,138일,41일,3.4배,홀드아웃(대조군) — 발송 제외
C101740,한현우,이탈위험군,2026-03-21,137일,41일,3.3배,홀드아웃(대조군) — 발송 제외
C101250,오지준,이탈위험군,2026-03-22,136일,41일,3.3배,홀드아웃(대조군) — 발송 제외
C100240,홍지연,이탈위험군,2026-03-23,135일,41일,3.3배,홀드아웃(대조군) — 발송 제외
C101150,황하정,이탈위험군,2026-03-24,134일,41일,3.3배,홀드아웃(대조군) — 발송 제외
C101410,김하서,이탈위험군,2026-03-25,133일,41일,3.2배,홀드아웃(대조군) — 발송 제외
C101420,최주서,이탈위험군,2026-03-25,133일,41일,3.2배,홀드아웃(대조군) — 발송 제외
C101460,이유서,이탈위험군,2026-03-26,132일,41일,3.2배,홀드아웃(대조군) — 발송 제외
C100810,최윤서,이탈위험군,2026-03-27,131일,41일,3.2배,홀드아웃(대조군) — 발송 제외
C100420,최현아,이탈위험군,2026-03-28,130일,41일,3.2배,홀드아웃(대조군) — 발송 제외
C100490,정지정,이탈위험군,2026-03-28,130일,41일,3.2배,홀드아웃(대조군) — 발송 제외
C100670,안도준,이탈위험군,2026-03-28,130일,41일,3.2배,홀드아웃(대조군) — 발송 제외
C101260,윤수아,이탈위험군,2026-03-30,128일,41일,3.1배,홀드아웃(대조군) — 발송 제외
C100300,송민정,이탈위험군,2026-04-02,125일,41일,3.0배,홀드아웃(대조군) — 발송 제외
C101600,전예경,이탈위험군,2026-04-02,125일,41일,3.0배,홀드아웃(대조군) — 발송 제외
C100740,홍채수,이탈위험군,2026-04-03,124일,41일,3.0배,홀드아웃(대조군) — 발송 제외
C101300,박주희,이탈위험군,2026-04-03,124일,41일,3.0배,홀드아웃(대조군) — 발송 제외
