발송순번,고객ID,고객명,연락처,세그먼트,우선순위,마지막이용일,경과일,평균주기,초과배수,이용횟수,마지막품목,누적결제금액,잔여횟수,만료일,수신동의,최근발송일,캠페인,채널,제목,발송메시지,발송예정일시,템플릿ID
1,C100493,정윤경,010-3003-6383,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,5회,고주파 리프팅,"919,400원",,,동의,2026-05-15,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
정윤경님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
2,C100559,최유서,010-2767-5718,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,8회,탄력 집중 관리,"2,358,200원",,,동의,2026-07-16,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
최유서님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
3,C100604,권윤경,010-7569-3007,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,8회,물광 주사,"1,784,700원",,,동의,2026-05-19,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
권윤경님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
4,C100822,오주정,010-6396-6059,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,3회,물광 주사,"826,600원",,,동의,2026-05-11,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
오주정님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
5,C101013,신민진,010-7059-6956,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,5회,물광 주사,"1,284,000원",,,동의,2026-04-25,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
신민진님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
6,C101071,강주영,010-3594-2651,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,4회,물광 주사,"698,500원",,,동의,2026-04-20,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
강주영님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
7,C101167,신윤수,010-7290-9749,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,9회,탄력 집중 관리,"1,442,000원",,,동의,2026-06-26,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
신윤수님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
8,C101253,정서빈,010-3213-9633,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,2회,탄력 집중 관리,"265,000원",,,동의,2026-05-17,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
정서빈님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
9,C101281,송소정,010-8733-9565,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,8회,슈링크,"1,097,500원",,,동의,2026-05-08,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
송소정님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
10,C101286,한주준,010-5610-8148,이탈위험군,1순위,2026-02-23,163일,41일,4.0배,3회,탄력 집중 관리,"390,500원",,,동의,2026-05-04,케어 주기 리마인드 · 10% 할인,LMS,[더뷰클리닉] 리프팅 관리 시점 안내 · 8월 재방문 10% 할인,"(광고) [더뷰클리닉]
한주준님, 마지막 관리 후 163일이 지났습니다.
받으셨던 리프팅 관리는 6~8주 주기로 이어가실 때 탄력 유지 효과가 가장 좋습니다.

8월 31일까지 재방문하시면 동일 관리를 10% 할인해 드립니다.
(10만원 이상 결제 시 · 타 할인 중복 불가)

▶ 예약: 02-000-0000
▶ 온라인 예약: link.theview.kr/r
무료수신거부 0808-000-000",2026-08-04(화) 10:00,T-CHURN-01
